date,old_dte,old_band,old_dte_key,old_lut_key,old_strategy,new_dte,new_band,new_dte_key,new_lut_key,new_strategy,strategy_changed
2025-08-21,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-22,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-08-25,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-08-26,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-08-28,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-08-29,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-09-01,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-09-02,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-09-03,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-09-04,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-09-05,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-09-08,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-09-09,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-09-10,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2025-09-11,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2025-09-12,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2025-09-15,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
